英文描述,中文描述,
"Sit on an exercise ball and roll forward until your upper back is resting on the ball. Hold a dumbbell with both hands and extend your arms straight up over your chest. Slowly lower the dumbbell behind your head while keeping your arms straight. Pause for a moment, then raise the dumbbell back to the starting position. Repeat for the desired number of repetitions.",坐在健身球上，向前滚动直到上背部靠在健身球上。双手握哑铃，双臂直上伸展过胸口。慢慢将哑铃放到头后，同时保持手臂伸直。停顿片刻，然后将哑铃举回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart and place a barbell across your upper back. Raise your heels off the ground as high as possible, using your calves. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，并将杠铃放在上背部。用小腿抬起脚跟，尽量抬高离地。在顶端稍作停顿，然后慢慢将脚跟放回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Grasp the barbell with a wide reverse grip, slightly wider than shoulder-width apart. Lift the barbell off the rack and hold it directly above your chest with your arms fully extended. Lower the barbell slowly towards your chest, keeping your elbows tucked in and your wrists straight. Pause for a moment when the barbell touches your chest, then push it back up to the starting position. Repeat for the desired number of repetitions.",平躺在长椅上，双脚平放在地上，背部贴着长凳。用宽的反握握法握杠铃，间距略大于肩宽。把杠铃从架子上抬起，双臂完全伸展，直接举在胸口上方。杠铃慢慢向下放向胸部，保持肘部内收，手腕保持笔直。当杠铃碰到胸部时暂停片刻，然后再推回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with a dumbbell in one hand and your arm fully extended above your chest. Lower the dumbbell in a controlled manner towards your forehead, keeping your upper arm stationary. Pause briefly at the bottom of the movement, then extend your arm back to the starting position. Repeat for the desired number of repetitions, then switch arms.",平躺在长椅上，一只手拿着哑铃，手臂完全伸展在胸前。将哑铃以有控制的方式向额头放下，保持上臂保持静止。动作结束时短暂停顿，然后将手臂伸回起始位置。重复到所需次数，然后换手臂。,
"Lie flat on your back on the floor with your legs extended and your arms by your sides, holding a dumbbell in each hand. Rotate your palms to face up, keeping your elbows close to your sides. Slowly curl the dumbbells towards your shoulders, squeezing your forearms. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",仰躺在地板上，双腿伸直，双臂垂在身侧，双手各握一个哑铃。手掌旋转朝上，肘部靠近身体两侧。慢慢将哑铃向肩膀弯曲，收紧前臂。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing up and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",平躺在长凳上，双手各握一个哑铃，手掌朝上，双臂完全伸展。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing each other. Extend your arms straight up over your chest, keeping your elbows close to your body. Lower the dumbbells down towards your forehead, bending your elbows. Pause for a moment, then extend your arms back up to the starting position. Repeat for the desired number of repetitions.",平躺在长凳上，双手各握一个哑铃，手掌相对。双臂直伸过胸前，肘部紧贴身体。将哑铃向下压向额头，弯曲肘部。暂停片刻，然后把手臂伸回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing up and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",平躺在长凳上，双手各握一个哑铃，手掌朝上，双臂完全伸展。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续加重，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Sit on an exercise ball with a dumbbell in one hand and your feet flat on the ground. Walk your feet forward and roll your body down until your upper back is resting on the exercise ball. Extend your arm with the dumbbell straight up above your chest, palm facing inwards. Slowly lower the dumbbell out to the side, keeping a slight bend in your elbow. Pause for a moment, then squeeze your chest muscles to bring the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在健身球上，一手拿着哑铃，双脚平放在地上。双脚向前走，身体向下滚动，直到上背部靠在健身球上。伸直手臂，哑铃直举胸前方，手掌向内。慢慢将哑铃放到一侧，肘部保持轻微弯曲。暂停片刻，然后收紧胸肌，将哑铃拉回起始位置。重复到所需次数，然后换手臂。,
"Stand with your feet wider than shoulder-width apart, toes pointing slightly outward. Hold the barbell across your upper back, resting it on your traps or rear delts. Engage your core and keep your chest up as you lower your body down into a squat, pushing your hips back and bending your knees. Lower until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions.",站立时双脚比肩宽宽还宽，脚趾稍微向外。将杠铃横跨上背部，放在斜方肌或后三角肌上。收紧核心，保持胸部抬起，身体下蹲，臀部向后推，膝盖弯曲。往下放，直到大腿与地面平行，或者尽可能低。在底部稍作停顿，然后用脚跟蹬地回到起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Take a step forward with your right foot, keeping your back straight and core engaged. Lower your body by bending both knees until your right thigh is parallel to the ground. Push through your right heel to return to the starting position. Repeat with your left leg. Alternate legs for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃。右脚向前迈一步，保持背部挺直，核心收紧。双膝弯曲，身体向下，直到右大腿与地面平行。用右脚跟用力回归起始位置。左腿重复。交替双腿，完成所需的重复次数。,
